what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1386287739241
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1386287739241
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1386287739241
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1386287739241
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1386287739241
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1386287739241
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1386287739256
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1386287739256
started,bundle,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.adt",1386287739256
started,bundle,com.android.ide.eclipse.base,22.2.1.v201309180102-833290,"com.android.ide.eclipse.base",1386287739256
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1386287739256
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1386287739288
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1386287739288
os,sysinfo,,,"win32",1386287739303
arch,sysinfo,,,"x86_64",1386287739303
ws,sysinfo,,,"win32",1386287739303
locale,sysinfo,,,"pt_BR",1386287739303
processors,sysinfo,,,"2",1386287739303
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386287739303
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1386287739303
java.specification.name,sysinfo,,,"Java Platform API Specification",1386287739303
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386287739303
java.specification.version,sysinfo,,,"1.6",1386287739303
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1386287739303
java.version,sysinfo,,,"1.6.0_18",1386287739303
java.vm.info,sysinfo,,,"mixed mode",1386287739303
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386287739303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386287739303
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386287739303
java.vm.specification.version,sysinfo,,,"1.0",1386287739303
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1386287739303
java.vm.version,sysinfo,,,"16.0-b13",1386287739303
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1386287739350
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1386287739818
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1386287739834
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1386287740348
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1386287740380
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1386287740489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386287746805
